year,artists,name,energy,danceability,speechiness,tempo
1928,[Carl Woitschach],Singende Bataillone 1. Teil,0.195,0.708,0.0506,118.469
1928,"[Robert Schumann, Vladimir Horowitz]","Fantasiestücke, Op. 111: Più tosto lento",0.0135,0.379,0.0462,83.97200000000001
1928,[Seweryn Goszczyński],Chapter 1.18 - Zamek kaniowski,0.22,0.7490000000000001,0.929,107.177
1928,[Francisco Canaro],Bebamos Juntos - Instrumental (Remasterizado),0.13,0.7809999999999999,0.0926,108.00299999999999
1928,"[Frédéric Chopin, Vladimir Horowitz]","Polonaise-Fantaisie in A-Flat Major, Op. 61",0.204,0.21,0.0424,62.148999999999994
1928,"[Felix Mendelssohn, Vladimir Horowitz]",Scherzo a capriccio: Presto,0.12,0.424,0.0593,63.521
1928,"[Franz Liszt, Vladimir Horowitz]","Valse oubliée No. 1 in F-Sharp Major, S. 215/1",0.19699999999999998,0.444,0.04,80.495
1928,[Carl Woitschach],Per aspera ad astra,0.42100000000000004,0.555,0.0474,123.31
1928,"[Francisco Canaro, Charlo]",Moneda Corriente - Remasterizado,0.207,0.6829999999999999,0.127,119.833
1928,[Seweryn Goszczyński],Chapter 1.3 - Zamek kaniowski,0.205,0.674,0.9540000000000001,81.249
1928,"[Sergei Rachmaninoff, Vladimir Horowitz]","Piano Sonata No. 2 in B-Flat Minor, Op. 36: I. Allegro agitato - Meno mosso",0.0719,0.376,0.0352,141.39
1928,"[Frédéric Chopin, Vladimir Horowitz]","Piano Sonata No. 2, Op. 35: IV. Finale. Presto",0.0823,0.17,0.0317,85.98899999999999
1928,"[Samuel Barber, Vladimir Horowitz]","Piano Sonata in E-Flat Minor, Op. 26: III. Adagio mesto",0.0435,0.359,0.0424,96.645
1928,"[Robert Schumann, Vladimir Horowitz]","Nachtstücke, Op. 23: No. 4 in F",0.0107,0.311,0.0556,78.98
1928,"[Ludwig van Beethoven, Staatskapelle Berlin, Richard Strauss]","Symphony No. 5 in C Minor, Op. 67: 3. Allegro",0.105,0.335,0.0716,80.204
1928,"[George Butterworth, John Cameron]",A Shropshire Lad: Is My Team Ploughing?,0.0059299999999999995,0.319,0.051,79.831
1928,"[Alexander Scriabin, Vladimir Horowitz]","Sonata No. 3, Op. 23 in F-Sharp Minor: IV. Presto con fuoco; Meno mosso",0.155,0.319,0.036000000000000004,66.947
1928,"[Francisco Canaro, Luis Scalon]",Invocación al Tango - Remasterizado,0.156,0.787,0.157,117.167
1928,"[Thomas Arne, John Heddle Nash]",Where the Bee Sucks,0.15,0.569,0.0474,76.93
1928,[Francisco Canaro],Tendrás Que Llorar Conmigo - Instrumental (Remasterizado),0.132,0.763,0.0886,111.679
