year,artists,name,energy,danceability,speechiness,tempo
1921,['Dennis Day'],Clancy Lowered the Boom,0.341,0.8190000000000001,0.415,60.93600000000001
1921,"['Sergei Rachmaninoff', 'James Levine', 'Berliner Philharmoniker']","Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",0.21100000000000002,0.27899999999999997,0.0366,80.954
1921,['Dennis Day'],How Can You Buy Killarny,0.27399999999999997,0.24100000000000002,0.0297,90.773
1921,['Phil Regan'],When Irish Eyes Are Smiling,0.193,0.418,0.038,101.665
1921,['John McCormack'],The Wearing of the Green,0.203,0.518,0.0615,66.221
1921,['Sergei Rachmaninoff'],"Morceaux de fantaisie, Op. 3: No. 2, Prélude in C-Sharp Minor. Lento",0.08800000000000001,0.389,0.0456,92.867
1921,['Ignacio Corsini'],La Mañanita - Remasterizado,0.13,0.485,0.0483,64.678
1921,['Fortugé'],Il Etait Syndiqué,0.257,0.684,0.39899999999999997,109.37799999999999
1921,['Maurice Chevalier'],Dans La Vie Faut Pas S'en Faire,0.26,0.46299999999999997,0.0557,85.146
1921,['Ignacio Corsini'],Por Que Me Dejaste - Remasterizado,0.115,0.37799999999999995,0.0414,70.37
1921,['Georgel'],La Vipère,0.363,0.315,0.0546,174.532
1921,['Mehmet Kemiksiz'],Ud Taksimi,0.42,0.415,0.114,70.758
1921,['Zay Gatsby'],Power Is Power,0.691,0.527,0.0326,159.935
1921,"['Sergei Rachmaninoff', 'Ruth Laredo']","10 Préludes, Op. 23: No. 5 in G Minor. Alla marcia",0.171,0.384,0.0319,107.698
1921,['Phil Regan'],Come Back To Erin,0.212,0.259,0.0358,85.726
1921,"['Hector Berlioz', 'Arturo Toscanini']",Rákóczy March,0.28300000000000003,0.541,0.0477,108.986
1921,['THE GUY'],When We Die,0.418,0.604,0.0417,80.07300000000002
1921,['Christopher Lynch'],A Ballynure Ballad,0.0848,0.54,0.075,100.296
1921,['Fortugé'],Je Suis Toujours La,0.113,0.67,0.196,87.162
1921,"['John McCormack', 'Edwin Schneider']",Mother Machree,0.155,0.4,0.0873,170.25099999999995
1921,['Ignacio Corsini'],Flor Marchita - Remasterizado,0.0995,0.648,0.105,71.97800000000002
1921,['Hanende İbrahim Efendi'],İmtidadı Aşkıma,0.245,0.223,0.0387,142.136
1921,['Mehmet Kemiksiz'],Ney Taksimi,0.14300000000000002,0.26899999999999996,0.0413,141.386
1921,['Sergei Rachmaninoff'],"Morceaux de fantaisie, Op. 3: No. 2, Prélude in C-Sharp Minor. Lento",0.08800000000000001,0.389,0.0456,92.867
1921,['Maurice Chevalier'],Je M'donne,0.27399999999999997,0.5,0.040999999999999995,79.218
1921,['Mehmet Kemiksiz'],Korkma Sönmez,0.698,0.685,0.0421,133.951
1921,['Fortugé'],La Victoire De La Madelon,0.231,0.665,0.155,129.671
1921,['Ignacio Corsini'],Por Ella - Remasterizado,0.177,0.28600000000000003,0.0431,167.352
1921,['Ignacio Corsini'],A Mi Palomita - Remasterizado,0.179,0.332,0.0443,75.704
1921,['Ignacio Corsini'],Amurado Me Dejaste - Remasterizado,0.215,0.484,0.106,76.277
1921,['Mehmet Kemiksiz'],Eşin Var âşiyâ Var,0.5589999999999999,0.45299999999999996,0.0329,156.077
1921,['Mehmet Kemiksiz'],Bir Zamanlar Bizde Millet,0.44299999999999995,0.65,0.0334,130.009
1921,"['Ermanno Wolf-Ferrari', 'Arturo Toscanini']",Overture,0.284,0.465,0.0591,98.336
1921,"['Sergei Rachmaninoff', 'Ruth Laredo']","6 Songs, Op. 38: No. 3, Daisies (Version for Piano)",0.0876,0.248,0.0566,82.025
1921,['Maurice Chevalier'],Je N'peux Pas Vivre Sans Amour,0.29,0.522,0.0522,92.70700000000001
1921,"['Sergei Rachmaninoff', 'James Levine', 'Berliner Philharmoniker']","Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",0.21100000000000002,0.27899999999999997,0.0366,80.954
1921,['THE GUY'],Love for Guns,0.42200000000000004,0.5770000000000001,0.0575,79.997
1921,['Christopher Lynch'],Just A Little Bit Of Heaven,0.131,0.344,0.0616,178.21200000000005
1921,['Mehmet Kemiksiz'],Ey Bülbül-i Ter Zebân-i İrf,0.537,0.6890000000000001,0.0282,107.84
1921,['Mehmet Kemiksiz'],Doksan Senelik Ömre İlâhi,0.39799999999999996,0.474,0.0309,75.931
1921,['Dennis Day'],Galway Bay,0.251,0.278,0.0371,69.90100000000001
1921,"['Wolfgang Amadeus Mozart', 'Arturo Toscanini']","Symphony No. 39 in E-Flat Major, K. 543: III. Menuetto",0.0742,0.371,0.0362,138.376
1921,['Mehmet Kemiksiz'],Kasr-ı Gülşen,0.5760000000000001,0.516,0.0303,123.853
1921,['Ignacio Corsini'],Un Lamento - Remasterizado,0.158,0.396,0.0734,134.614
1921,"['Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra']","No. 14, Vocalise",0.0257,0.0663,0.0472,74.282
1921,['Mehmet Kemiksiz'],Yâ Râb Bu Uğursuz Gecenin Yok mu Sabahı -,0.5,0.508,0.0345,127.969
1921,"['Felix Mendelssohn', 'Arturo Toscanini']","A Midsummer Night's Dream, Op. 61: Scherzo",0.233,0.301,0.0449,86.27
1921,['Ignacio Corsini'],Mis Harapos - Remasterizado,0.11900000000000001,0.655,0.127,106.51100000000001
1921,['Christopher Lynch'],The Rose Of Tralee,0.185,0.213,0.0372,165.137
1921,"['Sergei Rachmaninoff', 'Zubin Mehta', 'Vladimir Feltsman', 'Israel Philharmonic Orchestra']","Rhapsody on a Theme of Paganini, Op. 43: Var. XVIII, Andante cantabile",0.109,0.24100000000000002,0.0377,79.97399999999998
1921,['Morton Downey'],Where The River Shannon Flows,0.12,0.363,0.0452,82.315
1921,['Louis Boucot'],Une Canne Et Des Gants,0.32899999999999996,0.823,0.14300000000000002,119.061
1921,['Ignacio Corsini'],Lamento - Remasterizado,0.23199999999999998,0.293,0.0679,87.417
1921,['Ignacio Corsini'],Al Pie de la Reja - Remasterizado,0.147,0.33399999999999996,0.0486,135.111
