Rank,Track Name,Artist,loudness,speechiness
1,Sweet but Psycho,Ava Max,-4.724,0.0476
2,bad guy,Billie Eilish,-10.965,0.375
3,7 rings,Ariana Grande,-10.732,0.334
4,Dance Monkey,Tones and I,-6.401,0.0988
5,Señorita,Shawn Mendes,-6.049,0.029
6,Con Calma,Daddy Yankee,-2.652,0.0593
7,Shallow,Lady Gaga,-6.362,0.0308
8,Someone You Loved,Lewis Capaldi,-5.679,0.0319
9,Happier,Marshmello,-2.749,0.0452
10,Wow.,Post Malone,-7.399,0.178
11,Without Me,Halsey,-7.05,0.0705
12,Calma - Remix,Pedro Capó,-4.218,0.0524
13,Dancing With A Stranger (with Normani),Sam Smith,-7.513,0.0656
14,Goodbyes (Feat. Young Thug),Post Malone,-3.818,0.0745
15,Beautiful People (feat. Khalid),Ed Sheeran,-8.113,0.187
16,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,-5.56,0.102
17,China,Anuel AA,-3.702,0.0882
18,Callaita,Bad Bunny,-4.773,0.309
19,MIDDLE CHILD,J. Cole,-11.713,0.276
20,High Hopes,Panic! At The Disco,-2.729,0.0618
21,SICKO MODE,Travis Scott,-3.714,0.222
22,"thank u, next",Ariana Grande,-5.634,0.0658
23,I Don't Care (with Justin Bieber),Ed Sheeran,-5.041,0.0442
24,"break up with your girlfriend, i''m bored",Ariana Grande,-5.29,0.0917
25,Eastside (with Halsey & Khalid),benny blanco,-7.665,0.243
26,Circles,Post Malone,-3.497,0.0395
27,Truth Hurts,Lizzo,-3.046,0.114
28,Going Bad (feat. Drake),Meek Mill,-6.365,0.0905
29,Don't Call Me Up,Mabel,-2.853,0.147
30,Lucid Dreams,Juice WRLD,-7.23,0.2
31,So Am I,Ava Max,-4.67,0.0435
32,Better Now,Post Malone,-5.804,0.04
33,How Do You Sleep?,Sam Smith,-4.931,0.0925
34,rockstar (feat. 21 Savage),Post Malone,-6.136,0.0712
35,Lalala,Y2K,-7.899,0.0845
36,Girls Like You (feat. Cardi B),Maroon 5,-6.825,0.0505
37,Talk (feat. Disclosure),Khalid,-8.575,0.126
38,MIA (feat. Drake),Bad Bunny,-6.349,0.0621
39,Piece Of Your Heart,MEDUZA,-6.806,0.0295
40,when the party's over,Billie Eilish,-14.084,0.0972
41,Otro Trago,Sech,-4.669,0.341
42,Let Me Down Slowly,Alec Benjamin,-5.714,0.0318
43,No Me Conoce - Remix,Jhay Cortez,-3.831,0.0741
44,Memories,Maroon 5,-7.209,0.0546
